file,depth
file1.txt,1
file2.txt,39
file3.txt,3
file4.txt,11
file5.txt,50
file6.txt,48
file7.txt,13
file8.txt,11
file9.txt,6
file10.txt,38
file11.txt,75
file12.txt,2
file13.txt,17
file14.txt,6
file15.txt,4
file16.txt,35
file17.txt,5
file18.txt,14
file19.txt,11
file20.txt,76
file21.txt,26
file22.txt,9
file23.txt,14
file24.txt,76
file25.txt,16
file26.txt,26
file27.txt,35
file28.txt,8
file29.txt,47
file30.txt,20
file31.txt,8
file32.txt,2
file33.txt,40
file34.txt,22
file35.txt,5
file36.txt,9
file37.txt,32
file38.txt,36
file39.txt,16
file40.txt,8
file41.txt,9
file42.txt,6
file43.txt,43
file44.txt,35
file45.txt,15
file46.txt,1
file47.txt,40
file48.txt,45
file49.txt,1
file50.txt,14
file51.txt,3
file52.txt,12
file53.txt,15
file54.txt,31
file55.txt,20
file56.txt,48
file57.txt,46
file58.txt,24
file59.txt,52
file60.txt,81
file61.txt,42
file62.txt,24
file63.txt,20
file64.txt,18
file65.txt,7
file66.txt,36
file67.txt,5
file68.txt,63
file69.txt,59
file70.txt,53
file71.txt,77
file72.txt,33
file73.txt,22
file74.txt,11
file75.txt,13
file76.txt,23
file77.txt,3
file78.txt,28
file79.txt,61
file80.txt,19
file81.txt,24
file82.txt,15
file83.txt,16
file84.txt,29
file85.txt,14
file86.txt,37
file87.txt,59
file88.txt,41
file89.txt,45
file90.txt,61
file91.txt,34
file92.txt,20
file93.txt,47
file94.txt,72
file95.txt,21
file96.txt,16
file97.txt,21
file98.txt,26
file99.txt,64
